true_family,threshold,n_cells,n_correct,concordance,family,label
IT,"p >= 0.0
all cells",174359,174357,99.99885294134515,IT,"100.0%
n=174,359"
ET,"p >= 0.0
all cells",3941,1162,29.484902309058615,ET / PT,"29.5%
n=  3,941"
CT,"p >= 0.0
all cells",49420,45091,91.24038850667746,CT,"91.2%
n= 49,420"
Vip,"p >= 0.0
all cells",8291,8281,99.87938728742009,Vip,"99.9%
n=  8,291"
Sncg,"p >= 0.0
all cells",455,0,0,Sncg,"0.0%
n=    455"
Lamp5,"p >= 0.0
all cells",7883,7711,97.81808955981225,Lamp5,"97.8%
n=  7,883"
Pvalb,"p >= 0.0
all cells",5059,4364,86.26210713579759,Pvalb,"86.3%
n=  5,059"
Sst,"p >= 0.0
all cells",9554,9541,99.86393133765962,Sst,"99.9%
n=  9,554"
IT,"p >= 0.5
filtered",174359,174357,99.99885294134515,IT,"100.0%
n=174,359"
ET,"p >= 0.5
filtered",3876,1124,28.998968008255932,ET / PT,"29.0%
n=  3,876"
CT,"p >= 0.5
filtered",49411,45087,91.24891218554573,CT,"91.2%
n= 49,411"
Vip,"p >= 0.5
filtered",8291,8281,99.87938728742009,Vip,"99.9%
n=  8,291"
Sncg,"p >= 0.5
filtered",455,0,0,Sncg,"0.0%
n=    455"
Lamp5,"p >= 0.5
filtered",7883,7711,97.81808955981225,Lamp5,"97.8%
n=  7,883"
Pvalb,"p >= 0.5
filtered",4984,4339,87.0585874799358,Pvalb,"87.1%
n=  4,984"
Sst,"p >= 0.5
filtered",9549,9538,99.88480469159074,Sst,"99.9%
n=  9,549"
