method,probability_cutoff,class,allowed_true_RNA_families,n_cells,n_correct,median_probability,concordance_pct
pca,0.0,01 IT-ET Glut,ET|IT,196948,196941,1.0,100.0
pca,0.0,02 NP-CT-L6b Glut,CT|NP,65064,53756,0.926,82.62
pca,0.0,06 CTX-CGE GABA,Lamp5|Sncg|Vip,22640,22636,1.0,99.98
pca,0.0,07 CTX-MGE GABA,Pvalb|Sst,18881,18405,1.0,97.48
pca,0.5,01 IT-ET Glut,ET|IT,196846,196843,1.0,100.0
pca,0.5,02 NP-CT-L6b Glut,CT|NP,64440,53481,0.928,82.99
pca,0.5,06 CTX-CGE GABA,Lamp5|Sncg|Vip,22638,22634,1.0,99.98
pca,0.5,07 CTX-MGE GABA,Pvalb|Sst,18760,18319,1.0,97.65
pca,0.9,01 IT-ET Glut,ET|IT,192776,192776,1.0,100.0
pca,0.9,02 NP-CT-L6b Glut,CT|NP,36656,34649,0.978,94.52
pca,0.9,06 CTX-CGE GABA,Lamp5|Sncg|Vip,21684,21683,1.0,100.0
pca,0.9,07 CTX-MGE GABA,Pvalb|Sst,17322,16964,1.0,97.93
pca,0.95,01 IT-ET Glut,ET|IT,192002,192002,1.0,100.0
pca,0.95,02 NP-CT-L6b Glut,CT|NP,27591,26644,0.987,96.57
pca,0.95,06 CTX-CGE GABA,Lamp5|Sncg|Vip,21268,21267,1.0,100.0
pca,0.95,07 CTX-MGE GABA,Pvalb|Sst,16788,16440,1.0,97.93
