threshold,RNA_family,n_cells,n_correct,accuracy_pct
0.5,CT,51193,46727,91.28
0.5,ET,5840,1706,29.21
0.5,IT,184183,184181,100.0
0.5,Lamp5,9883,9670,97.84
0.5,NP,10897,0,0.0
0.5,Pvalb,6955,6078,87.39
0.5,Sncg,2454,0,0.0
0.5,Sst,11078,11065,99.88
0.5,Vip,10291,10279,99.88
0.9,CT,32535,32021,98.42
0.9,ET,1806,231,12.79
0.9,IT,184161,184161,100.0
0.9,Lamp5,9453,9374,99.16
0.9,NP,2536,0,0.0
0.9,Pvalb,5650,5267,93.22
0.9,Sncg,2007,0,0.0
0.9,Sst,11030,11027,99.97
0.9,Vip,10222,10218,99.96
0.95,CT,25029,24805,99.11
0.95,ET,1070,88,8.22
0.95,IT,184130,184130,100.0
0.95,Lamp5,9301,9250,99.45
0.95,NP,1248,0,0.0
0.95,Pvalb,5194,4902,94.38
0.95,Sncg,1787,0,0.0
0.95,Sst,11000,10999,99.99
0.95,Vip,10178,10177,99.99
