,precision,recall,f1-score,support
CT,0.7926829268292683,0.6132075471698113,0.6914893617021277,106.0
ET,0.9166666666666666,0.673469387755102,0.7764705882352941,49.0
IT,0.8216783216783217,0.9251968503937008,0.8703703703703703,254.0
Lamp5,0.8765432098765432,0.7802197802197802,0.8255813953488372,91.0
Pvalb,0.9143835616438356,0.9238754325259516,0.919104991394148,289.0
Sncg,0.0,0.0,0.0,13.0
Sst,0.8060200668896321,0.8860294117647058,0.8441330998248686,272.0
Vip,0.7814569536423841,0.7712418300653595,0.7763157894736842,153.0
accuracy,0.8394458027709861,0.8394458027709861,0.8394458027709861,0.8394458027709861
macro avg,0.7386789634033315,0.6966550299868015,0.7129331995436663,1227.0
weighted avg,0.8316788949730738,0.8394458027709861,0.83255808775022,1227.0
