,precision,recall,f1-score,support
CT,0.7894736842105263,0.5660377358490566,0.6593406593406593,106.0
ET,0.8717948717948718,0.6938775510204082,0.7727272727272727,49.0
IT,0.8257839721254355,0.9330708661417323,0.8761552680221811,254.0
Lamp5,0.8023255813953488,0.7582417582417582,0.7796610169491526,91.0
Pvalb,0.8791946308724832,0.9065743944636678,0.8926746166950597,289.0
Sncg,0.0,0.0,0.0,13.0
Sst,0.7697594501718213,0.8235294117647058,0.7957371225577264,272.0
Vip,0.7133333333333334,0.6993464052287581,0.7062706270627063,153.0
accuracy,0.8092909535452323,0.8092909535452323,0.8092909535452323,0.8092909535452323
macro avg,0.7064581904879775,0.6725847653387609,0.6853208229193448,1227.0
weighted avg,0.8001342582232965,0.8092909535452323,0.8017352928890962,1227.0
