,precision,recall,f1-score,support
CT,0.8367346938775511,0.7735849056603774,0.803921568627451,106.0
ET,0.9302325581395349,0.8163265306122449,0.8695652173913043,49.0
IT,0.8905660377358491,0.9291338582677166,0.9094412331406551,254.0
Lamp5,0.8461538461538461,0.8461538461538461,0.8461538461538461,91.0
Pvalb,0.9103448275862069,0.9134948096885813,0.9119170984455959,289.0
Sncg,0.4,0.3076923076923077,0.34782608695652173,13.0
Sst,0.8892988929889298,0.8860294117647058,0.8876611418047882,272.0
Vip,0.8490566037735849,0.8823529411764706,0.8653846153846154,153.0
accuracy,0.8793806030969845,0.8793806030969845,0.8793806030969845,0.8793806030969845
macro avg,0.8190484325319378,0.7943460763770313,0.8052338509880972,1227.0
weighted avg,0.8782099926059694,0.8793806030969845,0.8783503768951677,1227.0
