,precision,recall,f1-score,support
CT,0.6413043478260869,0.5566037735849056,0.5959595959595959,106.0
ET,0.7021276595744681,0.673469387755102,0.6875,49.0
IT,0.8339483394833949,0.889763779527559,0.8609523809523809,254.0
Lamp5,0.7659574468085106,0.7912087912087912,0.7783783783783784,91.0
Pvalb,0.8842105263157894,0.8719723183391004,0.8780487804878049,289.0
Sncg,0.0,0.0,0.0,13.0
Sst,0.7978723404255319,0.8272058823529411,0.8122743682310469,272.0
Vip,0.7012987012987013,0.7058823529411765,0.7035830618892508,153.0
accuracy,0.7946210268948656,0.7946210268948656,0.7946210268948656,0.7946210268948656
macro avg,0.6658399202165604,0.664513285713697,0.6645870707373072,1227.0
weighted avg,0.7854640114725184,0.7946210268948656,0.7894999906723146,1227.0
