,precision,recall,f1-score,support
CT,0.7640449438202247,0.6415094339622641,0.6974358974358974,106.0
ET,0.9444444444444444,0.6938775510204082,0.8,49.0
IT,0.8351254480286738,0.9173228346456693,0.874296435272045,254.0
Lamp5,0.8481012658227848,0.7362637362637363,0.788235294117647,91.0
Pvalb,0.9103448275862069,0.9134948096885813,0.9119170984455959,289.0
Sncg,0.0,0.0,0.0,13.0
Sst,0.8125,0.9080882352941176,0.8576388888888888,272.0
Vip,0.7933333333333333,0.7777777777777778,0.7854785478547854,153.0
accuracy,0.8410757946210269,0.8410757946210269,0.8410757946210269,0.8410757946210269
macro avg,0.7384867828794586,0.6985417973315693,0.7143752702518575,1227.0
weighted avg,0.8329545851542721,0.8410757946210269,0.8344979205398105,1227.0
