,precision,recall,f1-score,support
CT,0.7926829268292683,0.6132075471698113,0.6914893617021277,106.0
ET,0.8484848484848485,0.5714285714285714,0.6829268292682927,49.0
IT,0.8303886925795053,0.9251968503937008,0.8752327746741154,254.0
Lamp5,0.7659574468085106,0.7912087912087912,0.7783783783783784,91.0
Pvalb,0.8662207357859532,0.8961937716262975,0.8809523809523809,289.0
Sncg,0.0,0.0,0.0,13.0
Sst,0.7649122807017544,0.8014705882352942,0.7827648114901257,272.0
Vip,0.7152317880794702,0.7058823529411765,0.7105263157894737,153.0
accuracy,0.8027709861450693,0.8027709861450693,0.8027709861450693,0.8027709861450693
macro avg,0.6979848399086638,0.6630735591254554,0.6752838565318618,1227.0
weighted avg,0.7938430317551797,0.8027709861450693,0.7955343417364069,1227.0
